shipment_id,order_id,shipment_date,current_status,estimated_arrival,shipping_address
1,4281,2023-04-27 16:41:43,Shipped,2023-10-01 05:41:12,"15051 Robert Trace
East Heather, NM 40048"
2,11,2023-06-10 13:01:33,Shipped,2023-10-03 21:54:59,"8247 Mary Center
Laurastad, SD 94314"
3,3885,2022-12-01 04:49:28,Delivered,2023-10-03 19:57:36,"3103 Thomas Corner
Valeriebury, PW 89134"
4,1088,2023-01-29 19:33:04,In Transit,2023-10-03 17:26:32,"9429 Douglas Villages Apt. 624
South Ashleyport, ND 24692"
5,3321,2023-09-24 21:43:59,Shipped,2023-09-30 11:32:47,"6297 Stephanie Roads Apt. 846
Robertfurt, IN 74364"
6,4816,2023-08-19 22:41:58,Shipped,2023-10-02 11:57:45,"2794 Jackson Tunnel
Lake Anthony, MN 11207"
7,3080,2023-05-20 18:30:24,Shipped,2023-09-28 01:20:10,"915 Shane Isle Suite 632
Morenochester, GU 61846"
8,3332,2023-05-23 05:05:49,Delivered,2023-09-30 17:34:27,"244 Andrew Crescent
Adamschester, AK 07905"
9,408,2022-11-20 15:46:35,Delivered,2023-10-03 07:49:15,"38715 Krystal Ranch
Port Charles, DC 31104"
10,3361,2023-05-29 10:49:57,Delivered,2023-10-04 02:53:16,"1854 Lindsey Coves Suite 567
Lake Jonathan, TX 79148"
11,3886,2023-09-09 20:50:24,Delivered,2023-10-04 00:56:25,"Unit 0294 Box 8663
DPO AA 99254"
12,3659,2022-12-15 14:03:11,Shipped,2023-09-27 15:40:26,"324 Dixon Branch Suite 209
Gardnerville, OK 76457"
13,1051,2023-01-03 07:12:58,Delivered,2023-10-04 10:10:19,"540 Ortiz Burg
Martinchester, NV 64764"
14,1873,2022-12-02 22:52:19,In Transit,2023-10-02 08:35:48,"618 Ruiz Neck Suite 360
Velezside, TN 44906"
15,3706,2023-01-15 18:15:30,In Transit,2023-10-02 16:22:40,"72279 Orozco Square Suite 329
Jennifermouth, MH 33544"
16,3439,2023-06-24 05:56:36,Delivered,2023-10-01 15:21:02,"4089 Brady Underpass Suite 716
Wrightmouth, VT 63970"
17,2635,2023-06-30 12:13:51,In Transit,2023-09-28 06:26:51,"9627 Jimenez Squares
Jennifermouth, MH 75218"
18,4170,2023-02-19 22:28:13,Shipped,2023-09-30 08:14:26,"44218 Carpenter Hills
Collintown, AS 46233"
19,1574,2022-12-09 08:09:06,Shipped,2023-10-03 23:44:27,"16689 Julian Green
North Ashleyland, VA 35787"
20,4504,2023-05-02 17:37:36,Shipped,2023-09-28 19:32:15,"244 King Burgs Suite 994
Lake Ethan, AR 39804"
21,3756,2023-04-27 09:18:41,Delivered,2023-09-30 05:16:17,"PSC 3054, Box 2347
APO AA 64798"
22,243,2023-04-04 09:54:03,In Transit,2023-09-28 02:45:02,"Unit 6696 Box 1003
DPO AE 04402"
23,4079,2023-06-04 11:51:54,Delivered,2023-09-28 17:07:07,"0549 Williams Mills Suite 254
Dariusshire, TX 88875"
24,2706,2023-08-05 06:14:05,In Transit,2023-10-03 19:18:44,"319 Hannah Parkway Suite 742
Christopherborough, KS 75065"
25,3251,2023-01-04 11:15:36,In Transit,2023-09-28 13:59:33,"5187 Marshall Creek Suite 157
Port Holly, AZ 28723"
26,4875,2023-07-15 19:23:42,In Transit,2023-09-28 11:01:07,"439 Smith Lodge
New Shannonburgh, KY 10631"
27,3189,2023-07-19 03:30:34,Delivered,2023-10-03 09:39:14,"297 Bailey Neck Apt. 616
New Christopher, KS 70507"
28,4419,2022-12-18 02:09:37,Shipped,2023-09-30 13:17:04,"USS Mclaughlin
FPO AA 63525"
29,697,2023-09-18 06:23:54,In Transit,2023-09-30 00:54:24,"5696 Callahan Streets
Lake Davidville, MT 30973"
30,2202,2023-05-24 11:11:58,In Transit,2023-09-30 19:50:38,"938 Tammy Knoll Suite 700
West Ashley, TX 14223"
31,3428,2023-04-04 02:18:58,Delivered,2023-09-30 11:40:59,"969 James Union Apt. 020
Parkerchester, PR 30049"
32,2775,2023-06-17 22:34:34,Delivered,2023-10-02 11:53:04,"3704 Todd Unions Apt. 716
New Heatherburgh, PR 89173"
33,2326,2023-01-29 05:10:24,Delivered,2023-09-29 02:17:40,"2077 Wise Union Suite 071
Michaelshire, WV 28804"
34,4827,2023-06-13 07:43:40,Shipped,2023-09-30 17:03:41,"94912 Jones Curve
South Jennifer, CT 38075"
35,3222,2023-02-27 03:59:59,Shipped,2023-10-01 13:51:54,"1124 Jennings Bridge Apt. 445
Weaverhaven, TX 13084"
36,2281,2023-09-03 01:08:44,Delivered,2023-09-29 14:57:07,"16504 Houston Street Suite 548
Lake Michaelton, TN 24434"
37,1439,2022-12-10 08:35:10,Shipped,2023-09-30 21:16:48,"6925 Burke Garden Suite 265
Palmerville, CO 15429"
38,2311,2023-02-10 01:53:30,In Transit,2023-10-02 11:15:25,"52633 Hopkins Mountains
South Logan, DE 32146"
39,947,2023-05-16 07:54:17,In Transit,2023-09-28 18:51:51,"8811 Joseph Forks
West Meganstad, MN 02962"
40,3117,2023-06-17 06:18:24,In Transit,2023-09-28 07:06:22,"35825 Chad Estate
Alexisshire, OR 64182"
41,582,2023-08-25 19:03:11,Shipped,2023-10-03 01:51:59,"175 Martinez Island Suite 128
West Elizabethton, CT 18545"
42,4627,2023-03-17 20:14:25,In Transit,2023-09-28 13:20:46,"6172 Lee Gateway
South Jennifer, WY 38726"
43,861,2023-09-23 01:15:06,In Transit,2023-10-03 09:02:54,"920 Leonard Camp
Matthewfurt, KS 10481"
44,1625,2023-03-13 06:54:12,Delivered,2023-09-29 12:47:59,"1545 Christine Garden Apt. 399
North Tammy, GU 39771"
45,3577,2023-01-05 21:28:46,Shipped,2023-09-29 06:46:48,"115 Carson Views Suite 883
Andreview, NV 00970"
46,2497,2023-07-30 19:20:43,In Transit,2023-09-28 21:56:33,"59654 Curtis Via
Margaretshire, NY 20620"
47,1020,2023-09-16 22:42:42,Shipped,2023-09-29 03:51:19,"4092 Marvin Pike Apt. 580
South Jeffrey, VT 57923"
48,4494,2023-05-14 05:19:10,Shipped,2023-10-04 10:27:17,"970 Clark Unions
Port Lauraborough, GU 27609"
49,2023,2023-02-16 20:17:43,Delivered,2023-09-28 17:18:33,"11429 Smith Centers
Port Matthew, WY 69982"
50,2590,2023-04-11 21:30:13,In Transit,2023-10-03 19:08:27,"PSC 3096, Box 0609
APO AA 45014"
51,3838,2023-09-13 12:23:11,Delivered,2023-09-28 23:51:55,"216 Green Hill
Port Mollyton, HI 09147"
52,4928,2022-11-21 18:04:21,In Transit,2023-10-02 08:21:34,"5412 Heather Path Suite 166
Pacestad, KY 33297"
53,1327,2023-05-05 22:24:46,Shipped,2023-09-28 19:16:47,"56971 Baker Land
Myershaven, NM 50773"
54,948,2023-01-27 01:39:31,In Transit,2023-09-29 08:22:59,"632 Villegas Coves Apt. 890
New Alisha, PA 13851"
55,363,2022-12-01 23:27:26,Shipped,2023-10-03 21:25:24,"55218 Graves Prairie
Nicholsville, ND 89544"
56,4836,2023-01-18 13:17:13,In Transit,2023-09-27 17:19:00,"USS Beard
FPO AA 23052"
57,2378,2022-11-25 16:50:59,In Transit,2023-10-02 15:55:07,"849 Gabriela Road
Tammyshire, AR 79488"
58,157,2023-01-21 17:41:01,Shipped,2023-10-03 07:42:15,"960 Smith Station Suite 609
Meganton, TN 96762"
59,440,2023-08-07 17:48:30,In Transit,2023-09-29 14:50:53,"33667 Emily Corner Suite 021
Jonathantown, WI 78087"
60,3447,2022-10-05 06:30:21,Shipped,2023-09-30 16:34:24,"087 Burns Flat
West Wendyland, ND 15828"
61,2378,2023-04-07 11:53:38,In Transit,2023-09-28 00:42:26,"45450 Martin Haven
South Todd, FM 54470"
