user_id,name,email,country,registration_date,last_login_date
1,Emily Howard,jaredbooth@example.net,Cocos (Keeling) Islands,1970-03-26,2023-06-27 10:34:23
2,James Conner,christopherburns@example.net,Ireland,1999-03-24,2023-07-05 00:29:18
3,Derrick Wang,alexandra25@example.com,Namibia,1977-05-20,2023-09-13 12:56:13
4,Samantha Curry,csimon@example.org,Turkmenistan,1996-09-26,2022-12-05 22:04:32
5,Jeffrey Sherman,lhull@example.com,Lesotho,1969-01-02,2022-11-07 01:45:41
6,Justin Roy,steven17@example.org,Heard Island and McDonald Islands,1976-05-10,2022-11-12 13:52:16
7,Teresa Calderon,benjamindavila@example.org,Israel,1950-06-26,2023-01-28 18:42:37
8,Mrs. Jennifer Harrison,danielmontgomery@example.net,India,1931-09-16,2023-06-22 14:14:42
9,Michelle Garcia,kimberlyhardin@example.net,Congo,1978-06-25,2022-12-16 03:25:28
10,Stephanie Nolan,samantha06@example.org,Martinique,1947-01-11,2022-11-20 11:50:47
11,Ashley Freeman,clarkrachel@example.net,Cyprus,1930-10-30,2023-03-04 05:58:58
12,Wendy Bowers,rcruz@example.net,Samoa,1950-06-16,2023-03-16 21:06:54
13,Mary Andrews,james92@example.org,Suriname,1970-07-06,2023-08-23 16:11:13
14,Jennifer Edwards,martinezstephen@example.org,Moldova,1972-12-20,2023-01-15 10:33:24
15,Tyler Wagner,jillwilson@example.com,Belarus,1916-07-29,2023-03-18 20:09:17
16,Kevin Nelson,bakersonya@example.net,Central African Republic,1988-04-13,2023-01-12 18:02:14
17,Olivia Brady,scottsheri@example.net,Bahrain,1964-04-24,2022-12-16 23:38:35
18,John Shannon,bakerjoseph@example.com,Senegal,1999-02-06,2022-11-18 18:56:48
19,Bryce Thompson,davidcraig@example.org,Monaco,1981-04-10,2023-07-30 14:26:21
20,Joshua Whitney,browntammy@example.net,Sierra Leone,1956-02-12,2023-01-28 14:29:12
21,Nicholas Cole,marshallpamela@example.com,Kazakhstan,1991-10-07,2023-06-15 20:50:01
22,James Burgess,wujames@example.net,Peru,1986-04-15,2022-11-21 17:58:23
